seed,condition,task,a,b,attempt,proposed_class,verifier_pass
41001,validated_uniform,ZORP,11,1,0,2,1
41001,validated_uniform,ZORP,10,3,0,3,1
41001,validated_uniform,ZORP,14,1,0,3,0
41001,validated_uniform,ZORP,14,1,1,0,0
41001,validated_uniform,ZORP,14,1,2,0,0
41001,validated_uniform,ZORP,14,1,3,2,0
41001,validated_uniform,ZORP,4,13,0,2,0
41001,validated_uniform,ZORP,4,13,1,1,0
41001,validated_uniform,ZORP,4,13,2,1,0
41001,validated_uniform,ZORP,4,13,3,3,1
41001,validated_uniform,ZORP,3,12,0,1,1
41001,validated_uniform,ZORP,14,7,0,1,0
41001,validated_uniform,ZORP,14,7,1,1,0
41001,validated_uniform,ZORP,14,7,2,1,0
41001,validated_uniform,ZORP,14,7,3,1,0
41001,validated_uniform,ZORP,12,14,0,2,0
41001,validated_uniform,ZORP,12,14,1,0,1
41001,validated_uniform,ZORP,2,8,0,1,0
41001,validated_uniform,ZORP,2,8,1,0,1
41001,validated_uniform,ZORP,10,7,0,3,1
41001,validated_uniform,ZORP,8,11,0,0,0
41001,validated_uniform,ZORP,8,11,1,2,0
41001,validated_uniform,ZORP,8,11,2,3,0
41001,validated_uniform,ZORP,8,11,3,3,0
41001,validated_uniform,ZORP,8,6,0,0,1
41001,validated_uniform,ZORP,5,15,0,0,0
41001,validated_uniform,ZORP,5,15,1,2,1
41001,validated_uniform,ZORP,3,15,0,3,0
41001,validated_uniform,ZORP,3,15,1,1,0
41001,validated_uniform,ZORP,3,15,2,3,0
41001,validated_uniform,ZORP,3,15,3,2,0
41001,validated_uniform,ZORP,1,8,0,3,1
41001,validated_uniform,ZORP,13,3,0,2,1
41001,validated_uniform,ZORP,4,14,0,1,0
41001,validated_uniform,ZORP,4,14,1,3,0
41001,validated_uniform,ZORP,4,14,2,3,0
41001,validated_uniform,ZORP,4,14,3,2,0
41001,validated_uniform,ZORP,12,9,0,3,1
41001,validated_uniform,ZORP,10,6,0,2,1
41001,validated_uniform,ZORP,13,4,0,3,1
41001,validated_uniform,ZORP,8,12,0,3,0
41001,validated_uniform,ZORP,8,12,1,2,1
41001,validated_uniform,ZORP,9,14,0,2,0
41001,validated_uniform,ZORP,9,14,1,2,0
41001,validated_uniform,ZORP,9,14,2,2,0
41001,validated_uniform,ZORP,9,14,3,2,0
41001,validated_uniform,ZORP,10,10,0,3,0
41001,validated_uniform,ZORP,10,10,1,3,0
41001,validated_uniform,ZORP,10,10,2,0,0
41001,validated_uniform,ZORP,10,10,3,3,0
41001,validated_uniform,ZORP,3,9,0,1,0
41001,validated_uniform,ZORP,3,9,1,1,0
41001,validated_uniform,ZORP,3,9,2,3,0
41001,validated_uniform,ZORP,3,9,3,0,0
41001,validated_uniform,ZORP,12,0,0,3,0
41001,validated_uniform,ZORP,12,0,1,1,0
41001,validated_uniform,ZORP,12,0,2,3,0
41001,validated_uniform,ZORP,12,0,3,3,0
41001,validated_uniform,ZORP,6,8,0,3,0
41001,validated_uniform,ZORP,6,8,1,3,0
41001,validated_uniform,ZORP,6,8,2,2,0
41001,validated_uniform,ZORP,6,8,3,0,1
41001,validated_uniform,ZORP,2,0,0,1,0
41001,validated_uniform,ZORP,2,0,1,3,0
41001,validated_uniform,ZORP,2,0,2,1,0
41001,validated_uniform,ZORP,2,0,3,1,0
41001,validated_uniform,ZORP,6,15,0,2,0
41001,validated_uniform,ZORP,6,15,1,3,1
41001,validated_uniform,ZORP,6,10,0,2,1
41001,validated_uniform,ZORP,9,7,0,3,0
41001,validated_uniform,ZORP,9,7,1,2,1
41001,validated_uniform,ZORP,3,10,0,1,0
41001,validated_uniform,ZORP,3,10,1,0,0
41001,validated_uniform,ZORP,3,10,2,3,1
41001,validated_uniform,ZORP,8,8,0,1,0
41001,validated_uniform,ZORP,8,8,1,0,0
41001,validated_uniform,ZORP,8,8,2,1,0
41001,validated_uniform,ZORP,8,8,3,3,0
41001,validated_uniform,ZORP,0,5,0,0,0
41001,validated_uniform,ZORP,0,5,1,0,0
41001,validated_uniform,ZORP,0,5,2,3,1
41001,validated_uniform,ZORP,4,8,0,3,0
41001,validated_uniform,ZORP,4,8,1,2,1
41001,validated_uniform,ZORP,6,11,0,1,0
41001,validated_uniform,ZORP,6,11,1,1,0
41001,validated_uniform,ZORP,6,11,2,2,0
41001,validated_uniform,ZORP,6,11,3,0,0
41001,validated_uniform,ZORP,14,13,0,3,0
41001,validated_uniform,ZORP,14,13,1,3,0
41001,validated_uniform,ZORP,14,13,2,1,1
