seed,condition,task,a,b,attempt,proposed_class,verifier_pass
91001,validated_uniform,ZORP,9,2,0,3,0
91001,validated_uniform,ZORP,9,2,1,1,1
91001,validated_uniform,ZORP,9,5,0,1,0
91001,validated_uniform,ZORP,9,5,1,1,0
91001,validated_uniform,ZORP,6,13,0,2,1
91001,validated_uniform,ZORP,5,1,0,2,0
91001,validated_uniform,ZORP,5,1,1,2,0
91001,validated_uniform,ZORP,13,13,0,1,0
91001,validated_uniform,ZORP,13,13,1,1,0
91001,validated_uniform,ZORP,1,6,0,1,1
91001,validated_uniform,ZORP,2,2,0,1,0
91001,validated_uniform,ZORP,2,2,1,1,0
91001,validated_uniform,ZORP,6,3,0,0,0
91001,validated_uniform,ZORP,6,3,1,3,0
91001,validated_hard,ZORP,5,0,0,1,0
91001,validated_hard,ZORP,5,0,1,1,0
91001,validated_hard,ZORP,6,3,0,0,0
91001,validated_hard,ZORP,6,3,1,1,1
91001,validated_hard,ZORP,5,1,0,2,0
91001,validated_hard,ZORP,5,1,1,2,0
91001,validated_hard,ZORP,4,11,0,3,0
91001,validated_hard,ZORP,4,11,1,1,0
91001,validated_hard,ZORP,6,13,0,3,0
91001,validated_hard,ZORP,6,13,1,2,1
91001,validated_hard,ZORP,3,12,0,1,1
91001,validated_hard,ZORP,13,1,0,0,1
91001,validated_hard,ZORP,15,10,0,1,0
91001,validated_hard,ZORP,15,10,1,2,1
91001,validated_dream,ZORP,4,11,0,2,1
91001,validated_dream,ZORP,6,13,0,1,0
91001,validated_dream,ZORP,6,13,1,2,1
91001,validated_dream,ZORP,3,12,0,3,0
91001,validated_dream,ZORP,3,12,1,1,1
91001,validated_dream,ZORP,13,1,0,1,0
91001,validated_dream,ZORP,13,1,1,3,0
91001,validated_dream,ZORP,13,6,0,1,1
91001,validated_dream,ZORP,5,12,0,1,0
91001,validated_dream,ZORP,5,12,1,1,0
91001,validated_dream,ZORP,9,4,0,1,0
91001,validated_dream,ZORP,9,4,1,1,0
91001,validated_dream,ZORP,0,14,0,1,0
91001,validated_dream,ZORP,0,14,1,2,0
91001,validated_hard_anchor,ZORP,5,0,0,0,0
91001,validated_hard_anchor,ZORP,5,0,1,2,1
91001,validated_hard_anchor,ZORP,6,3,0,3,0
91001,validated_hard_anchor,ZORP,6,3,1,1,1
91001,validated_hard_anchor,ZORP,5,1,0,3,0
91001,validated_hard_anchor,ZORP,5,1,1,1,0
91001,validated_hard_anchor,ZORP,4,11,0,1,0
91001,validated_hard_anchor,ZORP,4,11,1,1,0
91001,validated_hard_anchor,ZORP,6,13,0,1,0
91001,validated_hard_anchor,ZORP,6,13,1,1,0
91001,validated_hard_anchor,ZORP,3,12,0,1,1
91001,validated_hard_anchor,ZORP,13,1,0,1,0
91001,validated_hard_anchor,ZORP,13,1,1,0,1
91001,validated_hard_anchor,ZORP,15,10,0,0,0
91001,validated_hard_anchor,ZORP,15,10,1,2,1
